Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,1,Battery_Cell,
"C1, C2",0603,2,2.2uF,
"C10, C11, C12, C14, C15, C16, C17, C18, C19, C21, C22, C25, C26, C27, C28, C3, C32, C36, C37, C38, C39, C4, C5, C50, C6, C8, C9",0603,27,0.1uF,
"C13, C7",0603,2,22pF,
"C20, C24",0603,2,12pF,
"C23, C34",0603,2,4.7uF,
"C29, C30, C31, C40",0603,4,1uF,
C33,0603,1,0.33uF,
C35,0603,1,220nF,
C41,CP_Elec_6.3x5.4_Nichicon,1,100uF,
C42,0603,1,10uF,
C43,0603,1,22uF,
D1,0603,1,LED,
"D2, D3, D4, D5, D6, D7, D8, D9",D_TUMD2,8,D,
F1,2010,1,350mA,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_XH_S5B-XH-A-1_1x05_P2.50mm_Horizontal,1,Conn_01x05_Pin,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J4,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Socket,
J5,Molex_200528-0040_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
J6,Amphenol_F32Q-1A7x1-11054_1x54-1MP_P0.5mm_Horizontal,1,Conn_01x54_Socket,
J7,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
L1,LQH43PN100M26L,1,10uH,
Q1,NJL7502,1,Q_Photo_NPN_CE,
"Q2, Q3, Q4, Q6, Q7",SOT-23,5,AO3401A,
"R1, R10, R11, R12, R16, R18, R19, R2, R20, R22, R24, R3, R4, R5, R6, R7, R8, R9",0603,18,10k,
"R13, R14",0603,2,5.1k,
"R15, R21",0603,2,120,
R17,0603,1,5,
R23,0603,1,6.8k,
"SW1, SW2",RE111F-4S1-152S4-15P-A,2,RotaryEncoder_Switch,
"SW3, SW4, SW5, SW7",SW_PUSH_6mm,4,SW_Push,
"SW6, SW8, SW9",PinSocket_1x03_P2.54mm_Vertical,3,SW_SPDT,
U1,LQFP-176_24x24mm_P0.5mm,1,STM32H743IITx,
U2,PinSocket_2x10_P2.54mm_Vertical,1,OV7675,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,TO-252-2,1,LM78M05_TO252,
U5,SOT-23-6,1,TPS61165DBV,
U6,SOT-223-3_TabPin2,1,AZ1117-3.3,
U8,DIP-8_W7.62mm,1,MCP2561-E-P,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-16.000MHZ-18-D2Y-T,
Y2,Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm,1,ABS25-32.768KHZ-T,
